site,site_type,year_estab,years_since_dist,elev_mean,slope_mean,forest_type,mean__chm,max__chm,sd__chm,cv__chm,mean__crr,mean__fhd,mean__veg_height_cv,cv__veg_height_median,mean__veg_height_kurt,sd__crr,sd__vci,mean__vci,mean__groundstorey_capture,mean__understorey_capture,mean__midstorey_capture,mean__upperstorey_capture,sd__groundstorey_capture,sd__understorey_capture,sd__midstorey_capture,sd__upperstorey_capture,mean__canopy_cover_gt1m,sd__canopy_cover_gt1m
NRY_Y_03,NRY,2017.0,8.0,474.4008579,14.89137762,NR,3.925541676022619,11.8702,2.3396007416413314,0.6022416256478813,0.553255055440421,1.1932340139520998,0.5199818091950507,0.7647502787881646,0.011789269148643094,0.14512116974003356,0.1796440267228684,0.4636104677563949,0.6072043412325705,0.5190301913530855,0.0,0.15781545269846786,0.32908521205761465,0.2882271196413201,0.0,0.24322364769322066,0.5921824147225596,0.29152632261030903
NRY_Y_12,NRY,2016.0,9.0,545.526754,10.54878235,NR,4.414257170177625,10.019400000000001,1.7517769910988374,0.40018522000748913,0.4866283395911082,1.3502741780412353,0.6833308430812355,0.6768585908630657,-0.3569267663949603,0.14070417715140432,0.16102325116892974,0.5514118383577409,0.5061651883574945,0.3843692319835748,0.0,0.15370521088415223,0.2932381117644641,0.2183177249694464,0.0,0.17044891190275713,0.48038916573323504,0.2212596835738189
NRY_Y_15,NRY,2020.0,5.0,548.6173846,7.599190369,NR,2.3589530169671997,7.2264,1.3608309343419838,0.5813161170606043,0.43925407417103673,0.9851138196885942,0.6561181798648708,0.7503387254182092,0.09525533473885461,0.13005862527970458,0.186551215395809,0.45810925823766546,0.5895913687715637,0.0,0.0,0.28454529256450944,0.27205381509272303,0.0,0.0,0.24489032838108266,0.28454529256450944,0.24489032838108266
PPO_O_05,PPO,1999.0,26.0,435.0247247,8.886067774,PP,23.460535774672284,33.604200000000006,5.195288942138548,0.22262213470988712,0.6884331262231892,2.2415631682430224,0.4049944620877154,0.3207120348657168,0.9770320507243555,0.12705019868383988,0.14969583319325758,0.6301995804658382,0.27214535448771526,0.200558525544357,0.0,0.7725427206782193,0.2979444202064073,0.21930453278699255,0.0,0.2011103084409584,0.8175669268059987,0.17872809001355563
PPO_O_09,PPO,1997.0,28.0,215.1096085,2.970027139,PP,29.215377652544397,38.6052,5.715139962476866,0.19724736927947092,0.7173582788333904,2.2970216199753737,0.3531568313588,0.265846067116611,2.634790288352969,0.11918193802418013,0.1570010759815314,0.6209626876075091,0.27983985406130696,0.08880563546192802,0.02360929535726576,0.7948468520271794,0.2914705016895148,0.144713493376511,0.03811821136201488,0.1951200843122942,0.8204493540197587,0.17922345783005406
PPO_Y_07,PPO,2004.0,21.0,419.4293651,17.04746957,PP,21.553197039082207,27.971999999999998,3.067663881368472,0.1422737049490979,0.7891945202426021,2.0172796489076354,0.22871966939299174,0.18094385808455912,2.7486186859219957,0.08026053633504644,0.10644233225535818,0.5956158917621357,0.24390687986980156,0.12482436961476477,0.0,0.9061477119743037,0.33392979680904844,0.23779094386529476,0.0,0.11986117441758508,0.9173999721004634,0.10972129657274972
PPO_Y_09,PPO,2003.0,22.0,525.8251439,8.476854076,PP,15.007682507666715,27.705399999999997,8.019558501933089,0.5342630306467798,0.5802903280104228,1.8677053029471486,0.5575686754932881,0.680309936484946,0.15763264043461875,0.16195166152856544,0.23224298181626324,0.5516581055195154,0.40987446358769597,0.20064511088271594,0.34965999032013134,0.44914216795465256,0.326852035557249,0.22979929132663743,0.2970614811112546,0.33737721911457313,0.6667257096541345,0.3381721346108204
PPO_Y_13,PPO,2010.0,15.0,581.8351617,7.567828342,PP,15.935400231557475,20.9804,1.9261716123563342,0.12091263570537367,0.7203808280038014,2.0249400183346196,0.3327747074416917,0.21045583258333864,1.2254341528963333,0.11417825078629289,0.11637949486004709,0.6495147081209522,0.3240072997179496,0.2031173266993697,0.37791211252538537,0.7429385001688693,0.3569457453329968,0.21618893637854467,0.2530387068088137,0.20156977501481715,0.8696135768152363,0.12330524048087754
PPO_Y_17,PPO,2010.0,15.0,566.9536323,4.293027048,PP,13.895852740297125,20.7816,2.9055187107045617,0.21480102008167648,0.6406903161264976,2.0317437242199823,0.40748897889198943,0.36035596115396284,0.4166552473775851,0.13462084636234853,0.11940523048405816,0.6537756199126515,0.4054326530476079,0.5359592948315479,0.0,0.6429861523783676,0.3619341468148405,0.25576484222290335,0.0,0.26722353739802773,0.8290603350343506,0.17666895557240042
PPY_O_09,PPY,2014.0,11.0,305.4351063,3.176828863,PP,14.594995890548907,19.5496,1.9875471544948358,0.13716816245348654,0.7763924036060994,1.8073528066718847,0.2157825884299887,0.17945856520489686,1.9753335257753282,0.0817697340433864,0.09409995952335422,0.5936408233612342,0.2054936479379621,0.3844759390693643,0.0,0.8753882029354461,0.3311310882917599,0.3493425277331347,0.0,0.1663131286359615,0.9214425552674005,0.11889257912360911
PPY_O_24,PPY,2015.0,10.0,394.8149903,9.111147075,PP,5.593535367517271,11.731399999999999,2.6851402286515293,0.483675380035346,0.5700622069552594,1.3639569191204295,0.5010650300395441,0.5634241976686685,-0.19508270149400325,0.15295745938448033,0.2418500115321224,0.5287545738967999,0.20422652279892875,0.28161724231263213,0.0,0.3560895878173703,0.2540656609418196,0.21592679322642602,0.0,0.28687572976916104,0.5035274565358172,0.3097170562460844
PPY_O_31,PPY,2011.0,14.0,446.164469,9.603263511,PP,13.429151471798031,19.067,2.6451935083907747,0.19730909479549857,0.6852278752487277,2.00763823297858,0.328032475614308,0.2812248725050125,0.8280009287400049,0.10780275902597818,0.11913778136822747,0.6619270914823204,0.23448192344388236,0.21385251783374618,0.0,0.8362317361993131,0.295909128285046,0.24837519454488,0.0,0.1750234396625822,0.8670337162217578,0.1550995653849901
PPY_Y_01,PPY,2019.0,6.0,296.1795061,5.315732784,PP,3.9924877789584876,8.2248,1.2491562739844164,0.3130976558607884,0.6291248160998024,1.163001903775934,0.3646158459613637,0.3676198425874083,0.9830676431693217,0.1324291710713593,0.16245738434959814,0.5099505365337217,0.45008852455006004,0.0,0.0,0.7595330357307737,0.3705998880850766,0.0,0.0,0.21491648691556567,0.7595330357307737,0.21491648691556567
PPY_Y_22,PPY,2020.0,5.0,169.7751661,7.77138591,PP,5.528300606450682,10.626000000000001,1.7227754168500842,0.3196757706300207,0.5614657910486711,1.5406749663358066,0.4213985622689105,0.41373185056930356,0.3725487102713469,0.1026813480708696,0.11881556163386253,0.6130569719878741,0.4548638410242923,0.26930379515485414,0.0,0.6121252201665308,0.29069880468634474,0.08278305029784834,0.0,0.2189780084935284,0.7896006877722288,0.17694455825289943
PPY_Y_23,PPY,2020.0,5.0,247.5448594,11.20469088,PP,2.08300244637701,5.3198,1.2418141043669058,0.5982950683363203,0.5853292802100094,0.7843376623198357,0.5483392937155791,0.6998882677067685,-0.3074682081514803,0.1891231478049283,0.23849285633452041,0.403003515493233,0.2603576554124366,0.0,0.0,0.2669763455663333,0.2620177201111128,0.0,0.0,0.28626163981239017,0.2669763455663333,0.28626163981239017
ULM_147,ULM,1950.0,75.0,457.9015529,7.370228408,UL,49.11862098932524,79.87039999999999,22.266816044372227,0.4646926123350079,0.6064283506809889,2.187850836683457,0.5543336379165196,0.7170675160416992,0.8376540618135794,0.1798793479203758,0.12091310648400477,0.4970907510212973,0.4694677067253149,0.7783900092391198,0.4349978440383614,0.39404251395378365,0.39874286967429196,0.2645103510398314,0.3828154495096613,0.3274427544448824,0.9278470737878706,0.12104999016460156
ULM_27,ULM,1950.0,75.0,360.0,0.0,UL,23.640164111392334,50.9246,12.082791402818255,0.5091779008410579,0.6424858327207245,1.9830636070056904,0.47494946194983945,0.6174257490844061,0.40296505722322984,0.14972819356549114,0.13005089810295067,0.5014455187717682,0.3463312460767268,0.44165614762209093,0.6046557293993025,0.2567897379292382,0.3531298445511524,0.31928015719956737,0.29827262605003846,0.29398360908170507,0.8539020728162832,0.16845746284242563
ULM_310,ULM,1950.0,75.0,556.9193064,7.405789337,UL,27.153578663684527,54.205799999999996,14.335195027809771,0.5318883513212311,0.5535032417293346,2.0762674937824275,0.5968266014203859,0.7920533790651703,0.40439852825163214,0.17961111161362645,0.11055174130028386,0.516627771926791,0.59844401013566,0.6763769500987892,0.47885137751866613,0.23479408441886887,0.34131598434013954,0.26173129098417347,0.35406016903484966,0.28234055092178506,0.8627546410382638,0.1656764547958072
ULM_325,ULM,1950.0,75.0,422.2408449,17.54862301,UL,28.955088565900592,70.6828,17.304654273254528,0.5988803075591976,0.6241863380580261,2.2810706139969534,0.4615721659096498,0.6837495395730124,0.4191460597892999,0.14027298075378497,0.1233523859496709,0.532544398241497,0.507379068514709,0.597787075817781,0.77439640505775,0.16539611741215743,0.37108954128558924,0.31189386245947753,0.2249724103554373,0.2572043658915287,0.9340090252901547,0.10162761826144898
